Set parameter Threads to value 1
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter Threads to value 1
Gurobi Optimizer version 13.0.0 build v13.0.0rc1 (linux64 - "AlmaLinux 9.7 (Moss Jungle Cat)")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 1 threads

Non-default parameters:
MIPGap  0.05
TSPort  4195
Threads  1

Optimize a model with 192384 rows, 3388428 columns and 43827624 nonzeros (Min)
Model fingerprint: 0x1912da9d
Model has 62892 linear objective coefficients
Variable types: 3356028 continuous, 32400 integer (32400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-02, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 16634.476933
Presolve removed 22260 rows and 30600 columns (presolve time = 8s)...
Presolve removed 22260 rows and 1089939 columns (presolve time = 10s)...
Presolve removed 46018 rows and 1090563 columns (presolve time = 16s)...
Presolve removed 81731 rows and 1091193 columns (presolve time = 21s)...
Presolve removed 81731 rows and 1091193 columns (presolve time = 26s)...
Presolve removed 81731 rows and 1091193 columns (presolve time = 30s)...
Presolve removed 88160 rows and 1091193 columns (presolve time = 35s)...
Presolve removed 88160 rows and 1091193 columns (presolve time = 40s)...
Presolve removed 107225 rows and 1097138 columns (presolve time = 45s)...
Presolve removed 107225 rows and 1097138 columns (presolve time = 50s)...
Presolve removed 107225 rows and 1097138 columns (presolve time = 56s)...
Presolve removed 107225 rows and 1097138 columns (presolve time = 60s)...
Presolve removed 107225 rows and 1097138 columns (presolve time = 65s)...
Presolve removed 107322 rows and 1097235 columns (presolve time = 71s)...
Presolve removed 107322 rows and 1097235 columns (presolve time = 75s)...
Presolve removed 107322 rows and 1097235 columns (presolve time = 80s)...
Presolve removed 116347 rows and 1603665 columns (presolve time = 85s)...
Presolve removed 116347 rows and 1603665 columns (presolve time = 90s)...
Presolve removed 116347 rows and 1603665 columns (presolve time = 95s)...
Presolve removed 116347 rows and 1603665 columns (presolve time = 101s)...
Presolve removed 115956 rows and 1603274 columns
Presolve time: 102.66s
Presolved: 76428 rows, 1785154 columns, 13997461 nonzeros
Variable types: 1778770 continuous, 6384 integer (6384 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   5.707714e+04   0.000000e+00    123s
   14666    2.4165500e+03   4.306445e+04   0.000000e+00    125s
   41789    3.1119799e+03   4.302713e+04   0.000000e+00    130s
   63278    3.3613438e+03   5.182507e+04   0.000000e+00    135s
   72386    3.4400038e+03   7.880823e+05   0.000000e+00    140s
   73442    3.4417485e+03   2.576202e+05   0.000000e+00    145s
   75026    3.4719082e+03   1.091574e+06   0.000000e+00    150s
   76478    3.4719088e+03   6.562474e+06   0.000000e+00    155s
   77798    3.4761375e+03   4.608744e+05   0.000000e+00    160s
   78986    3.4761380e+03   2.507764e+07   0.000000e+00    165s
   79910    3.4983800e+03   1.989192e+06   0.000000e+00    170s
   81230    3.5178623e+03   3.042800e+06   0.000000e+00    175s
   82154    3.5178627e+03   4.503932e+06   0.000000e+00    180s
   83198    3.5178630e+03   4.378617e+07   0.000000e+00    185s
   83990    3.5342303e+03   6.142185e+05   0.000000e+00    190s
   84914    3.5516972e+03   6.346187e+05   0.000000e+00    196s
   85562    3.5675303e+03   4.722783e+06   0.000000e+00    200s
   86618    3.5833081e+03   3.837473e+05   0.000000e+00    205s
   87542    3.5840210e+03   3.560103e+06   0.000000e+00    210s
   88334    3.5840212e+03   4.724872e+06   0.000000e+00    215s
   89126    3.5840214e+03   6.908432e+05   0.000000e+00    221s
   89784    3.5840216e+03   3.798723e+06   0.000000e+00    226s
   90708    3.5840219e+03   3.634586e+05   0.000000e+00    230s
   91632    3.5840221e+03   1.859268e+06   0.000000e+00    235s
   92424    3.6012245e+03   1.198205e+06   0.000000e+00    240s
   93204    3.6012249e+03   6.024389e+05   0.000000e+00    246s
   94128    3.6179751e+03   1.157938e+06   0.000000e+00    250s
   95182    3.6208805e+03   7.095423e+06   0.000000e+00    255s
   95974    3.6397540e+03   1.169972e+06   0.000000e+00    261s
   96898    3.6420186e+03   8.350416e+07   0.000000e+00    266s
   97690    3.6420188e+03   5.440762e+05   0.000000e+00    270s
   98470    3.6420190e+03   3.338152e+06   0.000000e+00    275s
   99790    3.6420194e+03   3.889763e+06   0.000000e+00    280s
  100978    3.6612473e+03   8.871955e+05   0.000000e+00    285s
  101902    3.6805053e+03   3.493796e+06   0.000000e+00    291s
  102562    3.6805054e+03   1.211161e+07   0.000000e+00    295s
  103354    3.6973337e+03   1.685096e+06   0.000000e+00    300s
  104146    3.7142846e+03   9.554149e+06   0.000000e+00    306s
  104936    3.7151219e+03   1.522083e+06   0.000000e+00    310s
