Set parameter Threads to value 1
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter Threads to value 1
Gurobi Optimizer version 13.0.0 build v13.0.0rc1 (linux64 - "AlmaLinux 9.7 (Moss Jungle Cat)")

CPU model: Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 32 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
MIPGap  0.05
TSPort  4195
Threads  1

Optimize a model with 256344 rows, 4508748 columns and 58466484 nonzeros (Min)
Model fingerprint: 0x035bedaa
Model has 83772 linear objective coefficients
Variable types: 4465548 continuous, 43200 integer (43200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [2e-02, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 16300.163067
Presolve removed 29490 rows and 40800 columns (presolve time = 11s)...
Presolve removed 29490 rows and 1453900 columns (presolve time = 15s)...
Presolve removed 61377 rows and 1454719 columns (presolve time = 20s)...
Presolve removed 61377 rows and 1454719 columns (presolve time = 28s)...
Presolve removed 61377 rows and 1454719 columns (presolve time = 30s)...
Presolve removed 108928 rows and 1455559 columns (presolve time = 35s)...
Presolve removed 108928 rows and 1455559 columns (presolve time = 41s)...
Presolve removed 108928 rows and 1455559 columns (presolve time = 45s)...
Presolve removed 117940 rows and 1455559 columns (presolve time = 50s)...
Presolve removed 117940 rows and 1455559 columns (presolve time = 55s)...
Presolve removed 117940 rows and 1455559 columns (presolve time = 60s)...
Presolve removed 141953 rows and 1462545 columns (presolve time = 66s)...
Presolve removed 141953 rows and 1462545 columns (presolve time = 70s)...
Presolve removed 141953 rows and 1462545 columns (presolve time = 75s)...
Presolve removed 141953 rows and 1462545 columns (presolve time = 80s)...
Presolve removed 141953 rows and 1462545 columns (presolve time = 85s)...
Presolve removed 141953 rows and 1462545 columns (presolve time = 90s)...
Presolve removed 142884 rows and 1463476 columns (presolve time = 96s)...
Presolve removed 142884 rows and 1463476 columns (presolve time = 100s)...
Presolve removed 142884 rows and 1463476 columns (presolve time = 105s)...
Presolve removed 142884 rows and 1463476 columns (presolve time = 110s)...
Presolve removed 154616 rows and 2157180 columns (presolve time = 115s)...
Presolve removed 154912 rows and 2157476 columns (presolve time = 120s)...
Presolve removed 154912 rows and 2157476 columns (presolve time = 126s)...
Presolve removed 154912 rows and 2157476 columns (presolve time = 130s)...
Presolve removed 154912 rows and 2157476 columns (presolve time = 135s)...
Presolve removed 154912 rows and 2157476 columns (presolve time = 140s)...
Presolve removed 154407 rows and 2156971 columns
Presolve time: 141.86s
Presolved: 101937 rows, 2351777 columns, 18668100 nonzeros
Variable types: 2343113 continuous, 8664 integer (8664 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   7.491174e+04   0.000000e+00    165s
    2400    0.0000000e+00   1.113618e+05   0.000000e+00    165s
   26591    2.7819336e+03   6.029938e+04   0.000000e+00    170s
   40319    3.1729582e+03   5.947137e+04   0.000000e+00    175s
   58224    3.3588574e+03   6.121532e+04   0.000000e+00    180s
   73360    3.4422296e+03   5.929028e+04   0.000000e+00    185s
   85689    3.4902023e+03   5.284872e+04   0.000000e+00    190s
   95092    3.5443871e+03   6.179509e+04   0.000000e+00    195s
  104774    3.5931910e+03   4.484782e+04   0.000000e+00    200s
  114309    3.7086201e+03   4.354958e+04   0.000000e+00    205s
  121821    3.7638839e+03   4.188442e+05   0.000000e+00    210s
  122864    3.7696094e+03   6.611786e+05   0.000000e+00    216s
  123460    3.7700009e+03   1.106656e+06   0.000000e+00    220s
  124354    3.7729610e+03   1.803747e+06   0.000000e+00    226s
  124950    3.7757878e+03   9.440811e+05   0.000000e+00    231s
  125397    3.7801587e+03   5.711638e+05   0.000000e+00    235s
  125844    3.7801587e+03   3.412119e+06   0.000000e+00    240s
  126589    3.7839445e+03   5.285614e+05   0.000000e+00    246s
  127036    3.7851875e+03   5.168162e+05   0.000000e+00    250s
  127930    3.7880230e+03   2.723144e+05   0.000000e+00    257s
  128228    3.7880230e+03   5.972109e+06   0.000000e+00    260s
  128675    3.7880230e+03   4.136478e+05   0.000000e+00    265s
  129122    3.7880231e+03   1.356590e+06   0.000000e+00    271s
  129867    3.7880234e+03   2.852185e+05   0.000000e+00    275s
  130761    3.7880239e+03   7.182265e+05   0.000000e+00    280s
  131804    3.8026025e+03   3.654431e+06   0.000000e+00    285s
  133145    3.8026030e+03   9.949764e+06   0.000000e+00    290s
  134039    3.8136040e+03   5.008062e+06   0.000000e+00    295s
  134933    3.8136042e+03   3.858940e+06   0.000000e+00    301s
  135976    3.8136046e+03   3.038338e+05   0.000000e+00    306s
  136721    3.8136048e+03   3.506676e+06   0.000000e+00    311s
  137615    3.8297157e+03   2.116169e+06   0.000000e+00    316s
  138509    3.8328284e+03   4.151696e+06   0.000000e+00    321s
  139552    3.8328287e+03   7.145726e+05   0.000000e+00    325s
  140744    3.8328290e+03   5.401803e+05   0.000000e+00    331s
  141638    3.8537587e+03   9.009591e+05   0.000000e+00    335s
  142532    3.8537589e+03   7.655053e+05   0.000000e+00    340s
  143128    3.8537590e+03   4.146317e+06   0.000000e+00    346s
  144171    3.8558587e+03   2.345387e+07   0.000000e+00    350s
  145214    3.8558589e+03   7.874848e+06   0.000000e+00    355s
  146108    3.8573787e+03   9.543435e+05   0.000000e+00    361s
  147002    3.8573788e+03   7.572593e+06   0.000000e+00    366s
  147747    3.8573789e+03   2.385261e+06   0.000000e+00    370s
  148492    3.8573790e+03   2.243569e+06   0.000000e+00    376s
  149088    3.8573792e+03   4.543693e+06   0.000000e+00    381s
  149833    3.8675229e+03   3.211853e+05   0.000000e+00    386s
