Set parameter Threads to value 1
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter Threads to value 1
Gurobi Optimizer version 13.0.0 build v13.0.0rc1 (linux64 - "AlmaLinux 9.7 (Moss Jungle Cat)")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 1 threads

Non-default parameters:
MIPGap  0.05
TSPort  4195
Threads  1

Optimize a model with 256344 rows, 4508748 columns and 58466484 nonzeros (Min)
Model fingerprint: 0x3418d79c
Model has 83772 linear objective coefficients
Variable types: 4465548 continuous, 43200 integer (43200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [2e-03, 2e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 1e+03]
Found heuristic solution: objective 16324.024629
Presolve removed 0 rows and 0 columns (presolve time = 5s)...
Presolve removed 29490 rows and 40800 columns (presolve time = 15s)...
Presolve removed 29490 rows and 40800 columns (presolve time = 15s)...
Presolve removed 62911 rows and 1530906 columns (presolve time = 21s)...
Presolve removed 62911 rows and 1531725 columns (presolve time = 25s)...
Presolve removed 62911 rows and 1531725 columns (presolve time = 35s)...
Presolve removed 62911 rows and 1531725 columns (presolve time = 36s)...
Presolve removed 109695 rows and 1532565 columns (presolve time = 41s)...
Presolve removed 109695 rows and 1532565 columns (presolve time = 48s)...
Presolve removed 109695 rows and 1532565 columns (presolve time = 50s)...
Presolve removed 109695 rows and 1532565 columns (presolve time = 55s)...
Presolve removed 118243 rows and 1532565 columns (presolve time = 61s)...
Presolve removed 118243 rows and 1532565 columns (presolve time = 65s)...
Presolve removed 118243 rows and 1532565 columns (presolve time = 70s)...
Presolve removed 118243 rows and 1532565 columns (presolve time = 75s)...
Presolve removed 142728 rows and 1539559 columns (presolve time = 80s)...
Presolve removed 142728 rows and 1539559 columns (presolve time = 86s)...
Presolve removed 142728 rows and 1540463 columns (presolve time = 91s)...
Presolve removed 142728 rows and 1540463 columns (presolve time = 99s)...
Presolve removed 142728 rows and 1540463 columns (presolve time = 100s)...
Presolve removed 142728 rows and 1540463 columns (presolve time = 105s)...
Presolve removed 142728 rows and 1540463 columns (presolve time = 110s)...
Presolve removed 143453 rows and 1541188 columns (presolve time = 116s)...
Presolve removed 143453 rows and 1541188 columns (presolve time = 120s)...
Presolve removed 143453 rows and 1541188 columns (presolve time = 125s)...
Presolve removed 143453 rows and 1541188 columns (presolve time = 130s)...
Presolve removed 143453 rows and 1541188 columns (presolve time = 135s)...
Presolve removed 155242 rows and 2226546 columns (presolve time = 141s)...
Presolve removed 155242 rows and 2226546 columns (presolve time = 146s)...
Presolve removed 155536 rows and 2226840 columns (presolve time = 150s)...
Presolve removed 155536 rows and 2226840 columns (presolve time = 156s)...
Presolve removed 155536 rows and 2226840 columns (presolve time = 161s)...
Presolve removed 155536 rows and 2226840 columns (presolve time = 165s)...
Presolve removed 155538 rows and 2226840 columns (presolve time = 170s)...
Presolve removed 155538 rows and 2226840 columns (presolve time = 175s)...
Presolve removed 155034 rows and 2226338 columns
Presolve time: 177.94s
Presolved: 101310 rows, 2282410 columns, 17952399 nonzeros
Found heuristic solution: objective 16322.714850
Variable types: 2273746 continuous, 8664 integer (8664 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.1190750e+01   6.561861e+04   0.000000e+00    211s
   18940    2.4469813e+03   5.585880e+04   0.000000e+00    215s
   34862    2.9839483e+03   5.533347e+04   0.000000e+00    220s
   50440    3.1426096e+03   7.194847e+04   0.000000e+00    225s
   61795    3.2654951e+03   6.143446e+04   0.000000e+00    230s
   71761    3.3095535e+03   5.894651e+04   0.000000e+00    235s
   80131    3.4790787e+03   5.264909e+04   0.000000e+00    240s
   88182    3.5611938e+03   4.677114e+04   0.000000e+00    245s
   95965    3.6414579e+03   3.769796e+04   0.000000e+00    250s
  103858    3.7239894e+03   2.966959e+04   0.000000e+00    255s
  111855    3.7992605e+03   3.004906e+04   0.000000e+00    260s
  114398    3.9038829e+03   2.404644e+05   0.000000e+00    265s
  115590    3.9074830e+03   2.557730e+05   0.000000e+00    270s
  116782    3.9082609e+03   6.488602e+05   0.000000e+00    275s
  117378    3.9082609e+03   1.654506e+06   0.000000e+00    281s
  117974    3.9082609e+03   5.780112e+05   0.000000e+00    285s
  119017    3.9176467e+03   3.067429e+06   0.000000e+00    291s
  119762    3.9176467e+03   1.799981e+06   0.000000e+00    296s
  120507    3.9237435e+03   4.872539e+05   0.000000e+00    300s
  121252    3.9245749e+03   5.603964e+05   0.000000e+00    306s
  121550    3.9245749e+03   6.453647e+05   0.000000e+00    311s
  121997    3.9245750e+03   3.000926e+05   0.000000e+00    317s
  122444    3.9245750e+03   9.048057e+05   0.000000e+00    322s
  122891    3.9247802e+03   3.076011e+05   0.000000e+00    326s
  123189    3.9247802e+03   8.999568e+05   0.000000e+00    330s
  123785    3.9248131e+03   2.340392e+06   0.000000e+00    336s
  124083    3.9248131e+03   4.142547e+05   0.000000e+00    341s
  124530    3.9248131e+03   4.217159e+05   0.000000e+00    347s
  124828    3.9248131e+03   1.473255e+06   0.000000e+00    351s
  125275    3.9248132e+03   3.401694e+05   0.000000e+00    356s
  125871    3.9270513e+03   4.217462e+05   0.000000e+00    361s
  126467    3.9270513e+03   2.328481e+05   0.000000e+00    365s
  127063    3.9353866e+03   2.593603e+05   0.000000e+00    370s
  127659    3.9353867e+03   2.806212e+06   0.000000e+00    375s
  128255    3.9377634e+03   1.278663e+06   0.000000e+00    381s
  129000    3.9387222e+03   5.538916e+06   0.000000e+00    385s
  129596    3.9449238e+03   1.155403e+07   0.000000e+00    390s
  130490    3.9566755e+03   4.155025e+07   0.000000e+00    395s
  131235    3.9677136e+03   2.206958e+05   0.000000e+00    401s
  131980    3.9677136e+03   2.764029e+05   0.000000e+00    406s
  132576    3.9677136e+03   2.148767e+06   0.000000e+00    411s
  132874    3.9677136e+03   1.070695e+06   0.000000e+00    415s
  133321    3.9677137e+03   8.268190e+05   0.000000e+00    421s
  133619    3.9677137e+03   2.297134e+06   0.000000e+00    425s
  134215    3.9687712e+03   1.025127e+06   0.000000e+00    431s
  134662    3.9687712e+03   1.356474e+06   0.000000e+00    436s
  134960    3.9687712e+03   1.004816e+06   0.000000e+00    440s
  135556    3.9694398e+03   2.531875e+05   0.000000e+00    446s
  136003    3.9694398e+03   6.423963e+05   0.000000e+00    452s
  136301    3.9694398e+03   1.367972e+06   0.000000e+00    455s
  136748    3.9694398e+03   1.680687e+06   0.000000e+00    460s
  137195    3.9694398e+03   3.491773e+05   0.000000e+00    466s
  137642    3.9736308e+03   8.441178e+05   0.000000e+00    472s
  138089    3.9736308e+03   5.278068e+05   0.000000e+00    475s
