Set parameter Threads to value 1
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter Threads to value 1
Gurobi Optimizer version 13.0.0 build v13.0.0rc1 (linux64 - "AlmaLinux 9.7 (Moss Jungle Cat)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 1 threads

Non-default parameters:
MIPGap  0.05
TSPort  4195
Threads  1

Optimize a model with 234104 rows, 5662168 columns and 95262724 nonzeros (Min)
Model fingerprint: 0x921f9440
Model has 83752 linear objective coefficients
Variable types: 5629768 continuous, 32400 integer (32400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-02, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 18291.707200
Presolve removed 0 rows and 0 columns (presolve time = 8s)...
Presolve removed 18165 rows and 30600 columns (presolve time = 11s)...
Presolve removed 18165 rows and 30600 columns (presolve time = 23s)...
Presolve removed 18165 rows and 30600 columns (presolve time = 27s)...
Presolve removed 18165 rows and 2585196 columns (presolve time = 30s)...
Presolve removed 66563 rows and 2585196 columns (presolve time = 37s)...
Presolve removed 66563 rows and 2585394 columns (presolve time = 40s)...
Presolve removed 66563 rows and 2585394 columns (presolve time = 52s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 58s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 61s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 76s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 80s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 85s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 90s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 95s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 100s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 105s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 110s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 116s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 121s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 125s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 131s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 135s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 141s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 145s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 150s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 155s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 160s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 168s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 171s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 175s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 180s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 186s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 190s)...
Presolve removed 148526 rows and 3466258 columns (presolve time = 196s)...
Presolve removed 148526 rows and 3466258 columns (presolve time = 200s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 206s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 211s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 216s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 220s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 226s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 233s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 236s)...
Presolve removed 148315 rows and 3466047 columns
Presolve time: 236.08s
Presolved: 85789 rows, 2196121 columns, 23451148 nonzeros
Variable types: 2189452 continuous, 6669 integer (6669 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   3.592337e+04   0.000000e+00    276s
   24122    3.0463444e+03   3.169305e+04   0.000000e+00    280s
   40404    3.4536440e+03   3.349037e+04   0.000000e+00    285s
   56572    3.6563488e+03   3.786028e+04   0.000000e+00    290s
   69520    3.7665762e+03   4.170805e+04   0.000000e+00    295s
   76895    3.9258325e+03   6.805426e+05   0.000000e+00    300s
   77595    3.9258325e+03   3.930084e+05   0.000000e+00    306s
   78015    3.9258330e+03   9.362336e+05   0.000000e+00    310s
   79835    3.9656871e+03   2.126155e+05   0.000000e+00    315s
   81235    3.9964999e+03   2.957867e+05   0.000000e+00    320s
   82635    3.9965003e+03   2.063498e+05   0.000000e+00    326s
   83475    3.9965005e+03   2.171629e+06   0.000000e+00    330s
   84455    3.9965008e+03   6.060961e+06   0.000000e+00    336s
   85015    3.9965009e+03   2.786842e+06   0.000000e+00    340s
   85855    3.9965012e+03   4.328185e+07   0.000000e+00    346s
   86975    4.0213422e+03   5.000846e+05   0.000000e+00    351s
   87675    4.0213424e+03   3.578390e+06   0.000000e+00    356s
   88515    4.0484863e+03   4.316162e+05   0.000000e+00    361s
   89215    4.0768474e+03   3.959558e+05   0.000000e+00    365s
   90055    4.1018513e+03   2.916685e+05   0.000000e+00    371s
   90755    4.1018514e+03   6.017565e+06   0.000000e+00    376s
   91455    4.1018515e+03   3.174091e+07   0.000000e+00    380s
   92015    4.1018516e+03   1.271931e+06   0.000000e+00    385s
   92995    4.1018518e+03   5.305997e+05   0.000000e+00    391s
   93415    4.1018520e+03   2.272092e+06   0.000000e+00    396s
   94255    4.1299576e+03   7.461467e+05   0.000000e+00    400s
   95235    4.1299579e+03   2.392014e+06   0.000000e+00    405s
   96075    4.1299580e+03   5.496572e+06   0.000000e+00    411s
   96775    4.1299582e+03   5.352918e+05   0.000000e+00    416s
   97055    4.1299582e+03   1.775744e+06   0.000000e+00    420s
   97615    4.1317262e+03   1.457415e+07   0.000000e+00    426s
   98315    4.1317264e+03   3.295448e+07   0.000000e+00    430s
   99155    4.1317266e+03   5.247719e+05   0.000000e+00    435s
   99855    4.1317266e+03   6.584892e+05   0.000000e+00    440s
  100415    4.1317267e+03   5.251660e+06   0.000000e+00    446s
  100975    4.1317269e+03   7.628227e+05   0.000000e+00    450s
  101675    4.1639471e+03   1.036617e+06   0.000000e+00    455s
  102375    4.1920072e+03   1.396295e+06   0.000000e+00    460s
  103215    4.2218238e+03   6.399904e+05   0.000000e+00    465s
  103915    4.2218239e+03   2.874858e+06   0.000000e+00    471s
  104475    4.2218239e+03   1.780086e+06   0.000000e+00    476s
  105175    4.2218240e+03   6.147194e+05   0.000000e+00    481s
  105595    4.2218242e+03   6.743590e+05   0.000000e+00    485s
  106155    4.2218242e+03   7.200079e+06   0.000000e+00    491s
  106715    4.2218244e+03   4.484606e+06   0.000000e+00    496s
  107695    4.2218245e+03   3.305963e+06   0.000000e+00    500s
  108395    4.2218246e+03   3.048054e+06   0.000000e+00    505s
  109095    4.2218246e+03   7.530871e+07   0.000000e+00    510s
  110075    4.2270493e+03   8.176823e+06   0.000000e+00    516s
  110495    4.2536985e+03   3.818766e+06   0.000000e+00    521s
  111055    4.2848310e+03   9.955280e+05   0.000000e+00    525s
  111895    4.2848311e+03   6.953189e+05   0.000000e+00    532s
  112175    4.2848312e+03   7.533024e+05   0.000000e+00    535s
  112595    4.2848313e+03   4.137379e+06   0.000000e+00    540s
  113015    4.3108337e+03   9.346053e+05   0.000000e+00    546s
  113425    4.3108337e+03   2.557678e+06   0.000000e+00    551s
  113845    4.3108338e+03   1.587856e+06   0.000000e+00    557s
  114265    4.3108339e+03   1.842037e+06   0.000000e+00    560s
  114965    4.3108340e+03   2.065710e+06   0.000000e+00    565s
  115665    4.3108341e+03   1.977336e+06   0.000000e+00    570s
  116225    4.3108341e+03   5.315708e+05   0.000000e+00    576s
  116925    4.3108342e+03   2.991063e+05   0.000000e+00    580s
