Set parameter Threads to value 1
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter Threads to value 1
Gurobi Optimizer version 13.0.0 build v13.0.0rc1 (linux64 - "AlmaLinux 9.7 (Moss Jungle Cat)")

CPU model: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 24 physical cores, 24 logical processors, using up to 1 threads

Non-default parameters:
MIPGap  0.05
TSPort  4195
Threads  1

Optimize a model with 187592 rows, 2654164 columns and 30432676 nonzeros (Min)
Model fingerprint: 0xe7a60bd4
Model has 58276 linear objective coefficients
Variable types: 2619604 continuous, 34560 integer (34560 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [2e-02, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 15676.691067
Presolve removed 27096 rows and 32640 columns (presolve time = 7s)...
Presolve removed 47460 rows and 726243 columns (presolve time = 11s)...
Presolve removed 47460 rows and 727965 columns (presolve time = 17s)...
Presolve removed 82248 rows and 728645 columns (presolve time = 20s)...
Presolve removed 82248 rows and 728645 columns (presolve time = 25s)...
Presolve removed 90057 rows and 728645 columns (presolve time = 30s)...
Presolve removed 90057 rows and 728645 columns (presolve time = 35s)...
Presolve removed 106567 rows and 733405 columns (presolve time = 40s)...
Presolve removed 106567 rows and 733405 columns (presolve time = 46s)...
Presolve removed 106567 rows and 733405 columns (presolve time = 50s)...
Presolve removed 106587 rows and 733425 columns (presolve time = 57s)...
Presolve removed 106587 rows and 733425 columns (presolve time = 60s)...
Presolve removed 113821 rows and 1089836 columns (presolve time = 65s)...
Presolve removed 114015 rows and 1090030 columns (presolve time = 70s)...
Presolve removed 114015 rows and 1090030 columns (presolve time = 75s)...
Presolve removed 114015 rows and 1090030 columns (presolve time = 81s)...
Presolve removed 113650 rows and 1089665 columns
Presolve time: 80.87s
Presolved: 73942 rows, 1564499 columns, 10438986 nonzeros
Variable types: 1558001 continuous, 6498 integer (6498 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   7.769326e+04   0.000000e+00     96s
   18853    2.5820587e+03   5.888621e+04   0.000000e+00    100s
   30091    2.9042669e+03   6.216999e+04   0.000000e+00    105s
   47730    3.0566264e+03   6.068950e+04   0.000000e+00    110s
   61095    3.1374210e+03   5.208429e+04   0.000000e+00    115s
   71424    3.2070925e+03   4.210148e+04   0.000000e+00    120s
   76082    3.2916967e+03   4.254293e+05   0.000000e+00    125s
   76850    3.2927554e+03   1.893808e+06   0.000000e+00    130s
   77618    3.2936458e+03   1.296625e+07   0.000000e+00    136s
   78258    3.2953262e+03   1.441970e+07   0.000000e+00    140s
   78898    3.3045374e+03   2.911508e+05   0.000000e+00    145s
   79410    3.3045377e+03   6.164680e+05   0.000000e+00    150s
   80818    3.3049569e+03   2.737985e+06   0.000000e+00    155s
   81714    3.3055698e+03   1.135681e+07   0.000000e+00    160s
   82994    3.3262484e+03   5.548811e+05   0.000000e+00    165s
   84018    3.3262489e+03   1.216762e+06   0.000000e+00    171s
   85042    3.3483433e+03   1.727864e+07   0.000000e+00    175s
   85938    3.3483438e+03   2.383364e+06   0.000000e+00    180s
   86834    3.3487118e+03   2.905987e+05   0.000000e+00    185s
   88114    3.3800847e+03   1.019325e+06   0.000000e+00    190s
   89394    3.4037529e+03   1.905962e+06   0.000000e+00    196s
   90546    3.4168937e+03   1.199846e+06   0.000000e+00    200s
   91442    3.4168941e+03   6.203814e+05   0.000000e+00    205s
   92338    3.4628346e+03   1.257202e+06   0.000000e+00    210s
   93234    3.4719461e+03   1.114635e+07   0.000000e+00    215s
   93874    3.4719463e+03   1.331791e+06   0.000000e+00    220s
   94506    3.4719464e+03   1.145414e+06   0.000000e+00    226s
   95530    3.4721665e+03   1.261203e+06   0.000000e+00    230s
   96426    3.4968075e+03   5.703015e+05   0.000000e+00    235s
   97578    3.5081190e+03   1.314022e+06   0.000000e+00    240s
   98474    3.5081195e+03   1.233879e+06   0.000000e+00    245s
   99626    3.5334881e+03   2.790951e+06   0.000000e+00    250s
  100650    3.5334884e+03   1.723873e+07   0.000000e+00    255s
  101418    3.5334887e+03   1.735562e+06   0.000000e+00    261s
  102040    3.5448777e+03   1.155565e+07   0.000000e+00    265s
