Set parameter Threads to value 1
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter Threads to value 1
Gurobi Optimizer version 13.0.0 build v13.0.0rc1 (linux64 - "AlmaLinux 9.7 (Moss Jungle Cat)")

CPU model: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 24 physical cores, 24 logical processors, using up to 1 threads

Non-default parameters:
MIPGap  0.05
TSPort  4195
Threads  1

Optimize a model with 234392 rows, 3312364 columns and 38052556 nonzeros (Min)
Model fingerprint: 0x559f3ae8
Model has 72796 linear objective coefficients
Variable types: 3269164 continuous, 43200 integer (43200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [2e-02, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 14926.290467
Presolve removed 33756 rows and 40800 columns (presolve time = 9s)...
Presolve removed 33756 rows and 40800 columns (presolve time = 11s)...
Presolve removed 58672 rows and 880955 columns (presolve time = 15s)...
Presolve removed 58672 rows and 880955 columns (presolve time = 22s)...
Presolve removed 102464 rows and 881805 columns (presolve time = 25s)...
Presolve removed 102464 rows and 881805 columns (presolve time = 31s)...
Presolve removed 102464 rows and 881805 columns (presolve time = 35s)...
Presolve removed 111292 rows and 881805 columns (presolve time = 40s)...
Presolve removed 111292 rows and 881805 columns (presolve time = 45s)...
Presolve removed 132688 rows and 887600 columns (presolve time = 50s)...
Presolve removed 132688 rows and 887600 columns (presolve time = 55s)...
Presolve removed 132688 rows and 887600 columns (presolve time = 62s)...
Presolve removed 132688 rows and 887600 columns (presolve time = 65s)...
Presolve removed 132688 rows and 887600 columns (presolve time = 70s)...
Presolve removed 132803 rows and 887715 columns (presolve time = 75s)...
Presolve removed 132803 rows and 887715 columns (presolve time = 80s)...
Presolve removed 132803 rows and 887715 columns (presolve time = 85s)...
Presolve removed 138722 rows and 1258990 columns (presolve time = 90s)...
Presolve removed 138969 rows and 1259237 columns (presolve time = 97s)...
Presolve removed 138969 rows and 1259237 columns (presolve time = 100s)...
Presolve removed 138969 rows and 1259237 columns (presolve time = 105s)...
Presolve removed 138969 rows and 1259237 columns (presolve time = 112s)...
Presolve removed 138521 rows and 1258789 columns
Presolve time: 113.08s
Presolved: 95871 rows, 2053575 columns, 13581379 nonzeros
Variable types: 2045367 continuous, 8208 integer (8208 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   9.593964e+04   0.000000e+00    134s
    8900    5.1058877e+02   9.021934e+04   0.000000e+00    135s
   25506    2.4110185e+03   7.351755e+04   0.000000e+00    140s
   40448    2.6540782e+03   7.285342e+04   0.000000e+00    145s
   51079    2.7498501e+03   7.335157e+04   0.000000e+00    150s
   61925    2.8220118e+03   7.094114e+04   0.000000e+00    155s
   71418    2.8642724e+03   6.502662e+04   0.000000e+00    160s
   81199    2.8846245e+03   6.106390e+04   0.000000e+00    165s
   89467    2.9095705e+03   5.520685e+04   0.000000e+00    170s
   97861    2.9513077e+03   5.795057e+04   0.000000e+00    175s
  105367    2.9956784e+03   5.036764e+04   0.000000e+00    180s
  113516    3.0226042e+03   4.503925e+04   0.000000e+00    185s
  120608    3.0231224e+03   4.821355e+04   0.000000e+00    190s
  126185    3.0231560e+03   4.462397e+04   0.000000e+00    195s
  131737    3.0308716e+03   4.041964e+04   0.000000e+00    200s
  138290    3.0657129e+03   3.931800e+04   0.000000e+00    205s
  143490    3.0766310e+03   4.801843e+04   0.000000e+00    210s
  149152    3.0945280e+03   3.327883e+04   0.000000e+00    215s
  154515    3.1063248e+03   3.562727e+04   0.000000e+00    220s
  156311    3.1194960e+03   7.188988e+05   0.000000e+00    225s
  156891    3.1194960e+03   6.745602e+05   0.000000e+00    230s
  157326    3.1194960e+03   3.825283e+06   0.000000e+00    235s
  157906    3.1230194e+03   2.520245e+06   0.000000e+00    242s
  158341    3.1230194e+03   2.914094e+06   0.000000e+00    247s
  158631    3.1230194e+03   8.930969e+05   0.000000e+00    252s
  158921    3.1230194e+03   3.977545e+06   0.000000e+00    257s
  159206    3.1230194e+03   6.044122e+05   0.000000e+00    261s
  159641    3.1230196e+03   3.089391e+06   0.000000e+00    266s
  160221    3.1230197e+03   1.626056e+07   0.000000e+00    270s
  161091    3.1235057e+03   9.125441e+05   0.000000e+00    276s
  161816    3.1265554e+03   1.337580e+07   0.000000e+00    281s
  162541    3.1265555e+03   1.429695e+06   0.000000e+00    286s
  163121    3.1265556e+03   3.260184e+06   0.000000e+00    290s
  163701    3.1265557e+03   1.893737e+06   0.000000e+00    296s
  164281    3.1290389e+03   1.789869e+06   0.000000e+00    300s
  164861    3.1290390e+03   1.593125e+06   0.000000e+00    305s
  165441    3.1290391e+03   3.067604e+06   0.000000e+00    310s
  166166    3.1290392e+03   4.665773e+06   0.000000e+00    316s
  166746    3.1290393e+03   9.643662e+05   0.000000e+00    321s
  167146    3.1290394e+03   1.483957e+06   0.000000e+00    326s
